customer_id,branch_id,customer_segment,credit_score
522,BR04,B,766
523,BR14,B,848
524,BR11,D,724
525,BR11,C,713
526,BR05,B,687
527,BR05,D,312
528,BR03,D,639
529,BR01,C,718
530,BR12,D,738
531,BR10,C,802
532,BR15,B,843
533,BR15,B,703
534,BR07,B,671
535,BR10,A,704
536,BR14,D,671
537,BR11,A,611
538,BR03,B,509
539,BR05,B,803
540,BR02,B,770
541,BR14,B,735
542,BR07,D,433
543,BR03,D,582
544,BR08,D,752
545,BR08,C,800
546,BR04,D,809
547,BR02,B,751
548,BR08,B,746
549,BR06,B,713
550,BR10,D,663
551,BR06,A,439
552,BR11,C,800
553,BR07,C,650
554,BR07,C,702
555,BR12,A,689
556,BR05,C,847
557,BR02,C,710
558,BR01,B,678
559,BR10,C,836
560,BR08,D,688
561,BR09,D,704
562,BR03,B,735
563,BR02,A,760
564,BR01,B,545
565,BR04,C,806
566,BR07,D,602
567,BR04,D,817
568,BR05,D,802
569,BR13,C,720
570,BR04,C,720
571,BR06,A,848
572,BR10,B,375
573,BR04,D,677
574,BR08,C,624
575,BR12,B,685
576,BR14,A,596
577,BR02,B,598
578,BR13,C,676
579,BR06,D,732
580,BR03,A,671
581,BR05,A,700
582,BR15,B,434
583,BR06,B,645
584,BR04,B,426
585,BR08,A,712
586,BR03,B,695
587,BR01,C,732
588,BR02,D,713
589,BR02,C,699
590,BR02,C,728
591,BR02,B,682
592,BR08,C,305
593,BR02,C,700
594,BR04,B,694
595,BR12,C,692
596,BR06,B,761
597,BR08,C,848
598,BR02,C,743
599,BR02,C,695
600,BR01,D,718
601,BR02,D,616
602,BR03,D,383
603,BR02,D,717
604,BR01,A,771
605,BR02,B,838
606,BR05,A,674
607,BR03,B,639
608,BR04,B,599
609,BR06,D,602
610,BR09,B,681
611,BR01,C,667
612,BR10,B,668
613,BR08,C,646
614,BR01,D,622
615,BR12,B,598
616,BR13,D,672
617,BR01,B,618
618,BR03,D,607
619,BR10,A,694
620,BR09,B,715
621,BR02,D,638
622,BR03,C,604
623,BR04,C,392
624,BR06,C,624
625,BR08,B,773
626,BR04,A,703
627,BR05,B,734
628,BR09,A,712
629,BR01,D,586
630,BR03,D,754
631,BR09,B,782
632,BR12,D,617
633,BR06,B,817
634,BR06,A,813
635,BR02,C,780
636,BR05,B,687
637,BR06,A,675
638,BR03,C,602
639,BR03,D,792
640,BR04,C,834
641,BR01,B,394
642,BR04,B,763
643,BR03,C,791
644,BR04,C,710
645,BR02,D,660
646,BR12,D,809
647,BR07,D,667
648,BR08,C,689
649,BR10,B,697
650,BR06,C,527
651,BR01,C,731
652,BR06,B,829
653,BR07,B,388
654,BR09,B,699
655,BR05,D,838
656,BR02,B,721
657,BR03,D,760
658,BR04,B,664
659,BR08,C,804
660,BR07,B,638
661,BR04,C,733
662,BR15,A,742
663,BR07,B,543
664,BR03,A,641
665,BR02,C,585
666,BR02,D,612
667,BR03,C,523
668,BR02,A,802
669,BR02,B,613
670,BR03,D,797
671,BR02,C,687
672,BR12,A,745
673,BR01,B,651
674,BR06,C,671
675,BR05,A,695
676,BR15,B,744
677,BR02,C,725
678,BR04,B,772
679,BR14,C,806
680,BR12,D,589
681,BR10,B,754
682,BR03,B,729
683,BR02,C,414
684,BR08,A,626
685,BR13,D,761
686,BR07,D,697
687,BR07,D,596
688,BR03,B,683
689,BR10,C,801
690,BR02,D,654
691,BR04,B,706
692,BR05,A,653
693,BR06,B,707
694,BR03,D,721
695,BR02,C,330
696,BR08,B,709
697,BR03,C,715
698,BR07,C,692
699,BR02,A,741
700,BR06,C,641
701,BR06,C,664
702,BR01,C,652
703,BR04,C,820
704,BR02,C,828
705,BR01,D,593
706,BR15,B,717
707,BR04,C,604
708,BR10,C,842
709,BR03,D,691
710,BR09,C,712
711,BR10,A,669
712,BR07,B,600
713,BR06,A,507
714,BR05,B,794
715,BR04,C,587
716,BR13,D,835
717,BR11,C,613
718,BR14,A,827
719,BR02,B,710
720,BR09,C,738
721,BR13,C,684
722,BR02,D,635
723,BR01,D,677
724,BR09,D,759
725,BR07,B,441
726,BR11,C,631
727,BR02,B,777
728,BR10,A,750
729,BR03,A,607
730,BR02,B,818
731,BR02,A,689
732,BR10,D,664
733,BR08,B,727
734,BR06,D,730
735,BR04,D,466
736,BR12,D,779
737,BR04,D,462
738,BR10,C,662
739,BR05,B,831
740,BR04,C,776
741,BR05,D,647
742,BR04,D,797
743,BR09,D,750
744,BR06,C,559
745,BR03,C,389
746,BR12,D,629
747,BR04,D,652
748,BR07,B,736
749,BR13,C,791
750,BR08,D,738
751,BR02,B,454
752,BR13,D,668
753,BR08,A,757
754,BR04,B,669
755,BR02,B,617
756,BR10,C,775
757,BR08,A,697
758,BR06,A,700
759,BR12,D,669
760,BR10,B,666
761,BR02,B,818
762,BR04,C,670
763,BR03,B,723
764,BR09,D,622
765,BR01,B,669
766,BR07,C,744
767,BR10,B,611
768,BR12,D,816
769,BR04,B,620
770,BR11,B,651
771,BR02,D,630
772,BR11,C,750
773,BR02,C,661
774,BR04,B,705
775,BR10,B,554
776,BR02,B,735
777,BR03,B,721
778,BR09,B,676
779,BR09,D,589
780,BR08,B,591
781,BR09,B,842
782,BR07,B,702
783,BR03,C,709
784,BR04,C,344
785,BR02,B,705
786,BR13,D,695
787,BR07,B,781
788,BR05,B,680
789,BR05,A,664
790,BR14,A,782
791,BR02,A,707
792,BR07,B,353
793,BR06,B,594
794,BR08,A,770
795,BR01,B,678
796,BR12,A,643
797,BR13,B,733
798,BR07,A,812
799,BR09,A,415
800,BR13,D,670
801,BR09,C,603
802,BR02,C,727
803,BR07,D,721
804,BR07,C,707
805,BR05,C,789
806,BR09,C,683
807,BR13,C,805
808,BR13,D,665
809,BR05,A,549
810,BR02,B,635
811,BR15,A,350
812,BR11,D,806
813,BR02,B,615
814,BR13,D,772
815,BR12,B,663
816,BR06,B,617
817,BR07,B,666
818,BR04,C,340
819,BR01,C,729
820,BR04,B,811
821,BR10,C,750
822,BR01,B,744
823,BR04,C,735
824,BR04,C,690
825,BR06,D,674
826,BR13,D,804
827,BR04,B,792
828,BR04,A,386
829,BR09,D,829
830,BR05,A,821
831,BR03,B,665
832,BR05,A,718
833,BR02,B,698
834,BR02,C,826
835,BR06,B,649
836,BR05,D,703
837,BR13,C,597
838,BR04,C,709
839,BR07,B,531
840,BR08,A,756
841,BR01,C,634
842,BR08,C,788
843,BR02,C,695
844,BR14,B,788
845,BR02,C,715
846,BR05,C,784
847,BR01,C,719
848,BR15,B,662
849,BR06,D,845
850,BR07,C,625
851,BR01,A,719
852,BR09,C,692
853,BR03,C,605
854,BR12,A,752
855,BR03,B,689
856,BR02,C,807
857,BR01,C,811
858,BR06,D,834
859,BR07,D,719
860,BR01,A,587
861,BR10,C,727
862,BR05,C,828
863,BR06,B,658
864,BR05,A,613
865,BR05,A,637
866,BR07,A,772
867,BR02,D,619
868,BR02,A,629
869,BR12,B,709
870,BR14,A,712
871,BR04,C,594
872,BR03,B,583
873,BR08,A,729
874,BR05,B,767
875,BR01,B,700
876,BR02,B,657
877,BR09,C,744
878,BR08,A,729
879,BR01,A,594
880,BR03,B,692
881,BR03,D,808
882,BR08,A,777
883,BR01,D,675
884,BR02,D,644
885,BR10,B,810
886,BR02,C,647
887,BR08,B,761
888,BR03,C,475
889,BR01,C,736
890,BR03,C,830
891,BR09,A,712
892,BR11,C,705
893,BR11,C,735
894,BR04,B,663
895,BR08,D,750
896,BR03,A,596
897,BR03,D,668
898,BR12,C,674
899,BR01,C,744
900,BR01,D,730
901,BR03,D,653
902,BR01,B,714
903,BR02,C,610
904,BR07,A,367
905,BR05,B,816
906,BR12,D,701
907,BR10,B,691
908,BR04,A,741
909,BR03,C,704
910,BR04,B,666
911,BR07,B,757
912,BR03,C,661
913,BR08,C,841
914,BR05,B,696
915,BR07,B,311
916,BR05,D,586
917,BR03,D,751
918,BR14,C,817
919,BR10,A,323
920,BR02,B,836
921,BR12,D,791
922,BR06,B,813
923,BR12,D,785
924,BR10,B,364
925,BR05,D,617
926,BR01,A,619
927,BR03,B,662
928,BR07,C,709
929,BR08,D,775
930,BR03,C,709
931,BR02,B,729
932,BR11,D,361
933,BR15,B,743
934,BR06,A,845
935,BR02,B,378
936,BR03,C,715
937,BR01,B,686
938,BR13,D,735
939,BR02,B,685
940,BR07,C,686
941,BR03,B,707
942,BR07,B,659
943,BR08,B,657
944,BR11,A,795
945,BR03,B,691
946,BR01,A,784
947,BR02,B,847
948,BR13,B,599
949,BR12,A,714
950,BR07,A,752
951,BR07,D,694
952,BR08,B,698
953,BR02,B,630
954,BR13,B,718
955,BR05,B,654
956,BR04,C,744
957,BR06,B,564
958,BR01,B,585
959,BR02,C,700
960,BR09,D,682
961,BR01,D,765
962,BR07,A,601
963,BR03,C,649
964,BR04,A,682
965,BR03,C,597
966,BR04,B,722
967,BR09,B,705
968,BR03,C,698
969,BR07,C,757
970,BR06,C,692
971,BR08,A,729
972,BR13,C,655
973,BR09,D,616
974,BR03,A,464
975,BR01,B,666
976,BR03,C,836
977,BR07,B,841
978,BR01,C,693
979,BR06,B,784
980,BR07,D,813
981,BR04,D,722
982,BR10,B,737
983,BR02,B,657
984,BR01,B,551
985,BR09,A,655
986,BR06,B,668
987,BR09,C,650
988,BR05,D,739
989,BR03,D,728
990,BR10,A,698
991,BR10,C,327
992,BR09,B,779
993,BR03,B,717
994,BR07,B,779
995,BR04,D,434
996,BR01,B,347
997,BR13,D,717
998,BR02,C,631
999,BR14,B,798
1000,BR05,B,673
1001,BR02,A,486
1002,BR07,C,705
1003,BR12,C,790
1004,BR09,B,844
1005,BR10,B,705
1006,BR08,D,661
1007,BR09,B,774
1008,BR11,C,832
1009,BR03,C,830
1010,BR06,B,697
1011,BR03,D,767
1012,BR15,C,685
1013,BR14,A,730
1014,BR01,D,759
1015,BR09,D,693
1016,BR13,C,704
1017,BR02,B,835
1018,BR07,D,791
1019,BR13,A,756
1020,BR01,C,315
1021,BR09,A,786
1022,BR03,B,301
1023,BR13,D,420
1024,BR14,C,683
1025,BR14,C,727
1026,BR06,B,691
1027,BR12,D,589
1028,BR11,B,601
1029,BR04,A,713
1030,BR11,C,688
1031,BR01,B,575
1032,BR07,A,670
1033,BR03,D,836
1034,BR02,C,470
1035,BR01,D,801
1036,BR09,C,696
1037,BR04,A,728
1038,BR09,A,655
1039,BR01,D,677
1040,BR04,A,316
1041,BR06,C,792
1042,BR10,B,596
1043,BR04,C,673
1044,BR08,B,614
1045,BR12,A,652
1046,BR08,C,733
1047,BR03,B,533
1048,BR01,C,612
1049,BR12,C,686
1050,BR01,C,666
1051,BR12,B,684
1052,BR06,C,810
1053,BR13,D,627
1054,BR10,C,683
1055,BR15,C,598
1056,BR04,D,589
1057,BR10,D,800
1058,BR05,B,811
1059,BR06,D,791
1060,BR08,A,794
1061,BR12,D,639
1062,BR15,A,613
1063,BR10,B,649
1064,BR05,D,513
1065,BR05,B,786
1066,BR09,B,691
1067,BR03,C,713
1068,BR02,C,667
1069,BR04,A,505
1070,BR03,B,680
1071,BR03,B,723
1072,BR03,B,811
1073,BR01,C,656
1074,BR01,B,605
1075,BR15,A,812
1076,BR05,C,839
1077,BR04,D,825
1078,BR08,C,509
1079,BR03,A,690
1080,BR14,C,622
1081,BR10,D,750
1082,BR01,C,738
1083,BR05,B,719
1084,BR12,D,600
1085,BR14,C,770
1086,BR05,D,663
1087,BR08,C,804
1088,BR02,B,672
1089,BR15,A,714
1090,BR03,C,754
1091,BR14,B,620
1092,BR08,B,839
1093,BR07,A,488
1094,BR06,D,627
1095,BR03,D,697
1096,BR02,B,806
1097,BR03,C,816
1098,BR02,B,686
1099,BR10,B,719
1100,BR04,B,664
1101,BR01,C,758
1102,BR14,B,723
1103,BR12,B,600
1104,BR13,B,845
1105,BR15,A,775
1106,BR02,D,790
1107,BR04,A,676
1108,BR10,B,602
1109,BR09,B,642
1110,BR02,B,738
1111,BR10,C,643
1112,BR03,B,707
1113,BR03,B,618
1114,BR06,A,645
1115,BR07,A,685
1116,BR07,B,596
1117,BR01,D,614
1118,BR12,A,536
1119,BR03,C,449
1120,BR02,C,582
1121,BR12,B,665
1122,BR14,C,630
1123,BR12,C,804
1124,BR10,C,806
1125,BR08,D,753
1126,BR07,B,688
1127,BR01,B,359
1128,BR05,B,529
1129,BR04,A,669
1130,BR03,B,842
1131,BR09,D,618
1132,BR06,B,845
1133,BR01,B,680
1134,BR03,B,692
1135,BR09,B,708
1136,BR01,B,523
1137,BR11,D,672
1138,BR06,D,725
1139,BR06,B,775
1140,BR07,A,672
1141,BR11,C,661
1142,BR04,D,661
1143,BR08,D,732
1144,BR07,C,689
1145,BR03,C,613
1146,BR12,C,615
1147,BR10,A,698
1148,BR08,C,685
1149,BR11,C,715
1150,BR12,C,802
1151,BR09,C,691
1152,BR11,C,711
1153,BR09,C,687
1154,BR09,A,671
1155,BR08,D,571
1156,BR10,C,625
1157,BR02,C,725
1158,BR12,B,595
1159,BR12,D,832
1160,BR01,C,814
1161,BR11,C,581
1162,BR02,D,408
1163,BR04,D,778
1164,BR09,C,673
1165,BR02,B,537
1166,BR10,D,733
1167,BR11,D,599
1168,BR06,A,690
1169,BR01,B,673
1170,BR03,C,820
1171,BR08,A,718
1172,BR15,A,780
1173,BR08,B,789
1174,BR03,D,845
1175,BR08,A,733
1176,BR06,D,676
1177,BR10,D,716
1178,BR02,D,548
1179,BR10,B,693
1180,BR07,B,825
1181,BR14,B,747
1182,BR04,D,705
1183,BR08,B,669
1184,BR13,A,681
1185,BR02,B,703
1186,BR13,B,803
1187,BR09,D,605
1188,BR01,C,618
1189,BR04,C,548
1190,BR09,A,824
1191,BR01,D,683
1192,BR07,B,477
1193,BR04,D,843
1194,BR08,B,699
1195,BR01,C,704
1196,BR12,B,711
1197,BR14,A,699
1198,BR14,B,609
1199,BR09,A,711
1200,BR02,B,755
1201,BR10,C,715
1202,BR01,B,620
1203,BR01,B,516
1204,BR04,B,729
1205,BR06,B,779
1206,BR10,A,817
1207,BR09,B,670
1208,BR05,B,690
1209,BR03,B,797
1210,BR15,B,609
1211,BR05,A,769
1212,BR05,D,669
1213,BR02,D,841
1214,BR10,C,741
1215,BR09,B,676
1216,BR03,C,799
1217,BR01,C,835
1218,BR09,B,580
1219,BR08,B,717
1220,BR03,B,704
1221,BR14,A,798
1222,BR02,C,771
1223,BR05,D,617
1224,BR14,B,719
1225,BR05,A,703
1226,BR08,A,807
1227,BR04,B,843
1228,BR03,B,656
1229,BR15,A,718
1230,BR05,B,662
1231,BR12,C,696
1232,BR03,C,768
1233,BR03,D,716
1234,BR01,C,651
1235,BR08,A,706
1236,BR04,C,689
1237,BR12,A,704
1238,BR06,C,513
1239,BR14,A,780
1240,BR02,A,807
1241,BR12,B,675
1242,BR10,A,683
1243,BR10,B,785
1244,BR11,B,688
1245,BR10,C,625
1246,BR08,B,672
1247,BR02,B,694
1248,BR01,C,725
1249,BR13,A,838
1250,BR08,D,669
1251,BR10,D,755
1252,BR06,D,584
1253,BR02,B,691
1254,BR02,B,734
1255,BR09,C,777
1256,BR05,A,399
1257,BR03,A,693
1258,BR06,B,823
1259,BR01,C,689
1260,BR07,A,606
1261,BR03,C,842
1262,BR10,B,738
1263,BR04,C,720
1264,BR05,B,704
1265,BR01,A,595
1266,BR01,B,724
1267,BR04,B,661
1268,BR06,A,677
1269,BR07,B,313
1270,BR03,D,712
1271,BR09,C,716
1272,BR12,D,708
1273,BR10,D,597
1274,BR01,C,713
1275,BR06,B,718
1276,BR02,D,771
1277,BR03,C,625
1278,BR15,D,808
1279,BR02,C,679
1280,BR06,C,709
1281,BR08,D,757
1282,BR09,C,761
1283,BR07,C,432
1284,BR01,B,728
1285,BR04,D,708
1286,BR06,C,733
1287,BR01,B,692
1288,BR04,B,700
1289,BR01,C,667
1290,BR01,A,670
1291,BR04,B,813
1292,BR02,B,816
1293,BR07,D,653
1294,BR09,B,690
1295,BR10,B,714
1296,BR03,D,478
1297,BR02,B,834
1298,BR02,A,721
1299,BR08,D,760
1300,BR09,C,736
1301,BR01,B,765
1302,BR13,D,739
1303,BR01,C,752
1304,BR07,D,646
1305,BR09,B,823
1306,BR12,B,703
1307,BR09,C,735
1308,BR10,B,817
1309,BR04,A,742
1310,BR10,A,759
1311,BR01,C,585
1312,BR12,B,559
1313,BR07,A,762
1314,BR10,C,744
1315,BR05,B,671
1316,BR08,B,639
1317,BR06,C,685
1318,BR09,B,718
1319,BR01,C,592
1320,BR01,A,668
1321,BR03,A,812
1322,BR02,C,702
1323,BR12,D,682
1324,BR03,B,828
1325,BR14,C,761
1326,BR04,B,621
1327,BR02,B,708
1328,BR10,A,691
1329,BR08,D,667
1330,BR06,B,680
1331,BR07,B,738
1332,BR09,C,724
1333,BR03,B,606
1334,BR15,A,597
1335,BR14,A,817
1336,BR08,D,784
1337,BR02,B,653
1338,BR09,D,788
1339,BR01,B,708
1340,BR01,A,835
1341,BR03,D,540
1342,BR05,C,584
1343,BR12,B,724
1344,BR09,B,787
1345,BR09,B,717
1346,BR05,C,762
1347,BR04,C,702
1348,BR04,A,627
1349,BR15,D,751
1350,BR01,B,411
1351,BR12,A,811
1352,BR07,B,747
1353,BR05,D,590
1354,BR09,B,739
1355,BR06,C,373
1356,BR12,D,677
1357,BR13,C,798
1358,BR05,C,693
1359,BR03,B,594
